City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hofn,64.2539,-15.2082,8.28,94,97,4.46,IS,1684449056
84,kibaya,-5.3,36.5667,15.16,92,60,2.01,TZ,1684449057
85,esperance,-33.8667,121.9,13.0,84,2,0.87,AU,1684449057
86,kyren,51.6828,102.1408,1.03,75,61,1.08,RU,1684449058
87,concordia,-31.393,-58.0209,21.55,78,0,1.34,AR,1684449059
88,saint-philippe,-21.3585,55.7679,23.77,82,21,2.6,RE,1684449000
89,chicama,-7.8447,-79.1469,23.3,76,19,4.14,PE,1684449060
90,bustamante,26.5333,-100.5,28.86,51,64,8.49,MX,1684449061
91,srednekolymsk,67.45,153.6833,12.72,37,20,8.44,RU,1684449061
92,vestmannaeyjar,63.4427,-20.2734,7.95,93,100,15.66,IS,1684449062
93,nanortalik,60.1432,-45.2371,2.57,85,100,3.17,GL,1684449063
94,college,64.8569,-147.8028,16.44,37,40,3.09,US,1684448778
95,belle fourche,44.6714,-103.8522,17.96,41,83,7.42,US,1684449064
96,roma,43.2128,-75.4557,18.68,23,0,1.54,US,1684449064
97,gorontalo,0.5412,123.0595,25.12,91,51,1.01,ID,1684449065
98,inhambane,-23.865,35.3833,22.51,92,60,4.35,MZ,1684449066
99,mahebourg,-20.4081,57.7,24.03,94,20,0.0,MU,1684449066
100,ust-tsilma,65.441,52.1498,13.74,85,47,2.85,RU,1684449026
101,alugan,12.2188,125.4808,25.73,89,100,2.0,PH,1684449067
102,iwanai,42.9744,140.5089,17.33,53,100,1.53,JP,1684449068
103,vardo,70.3705,31.1107,1.99,80,84,4.12,NO,1684449069
104,georgetown,5.4112,100.3354,26.97,78,40,2.57,MY,1684448783
105,port lincoln,-34.7333,135.8667,14.11,77,99,3.04,AU,1684449070
106,jumla,29.2747,82.1838,9.69,83,8,1.64,NP,1684449072
107,ayapel,8.3137,-75.1398,31.87,70,32,1.7,CO,1684448807
108,tiksi,71.6872,128.8694,-8.12,89,54,2.98,RU,1684448775
109,aklavik,68.2191,-135.0107,3.0,65,40,4.63,CA,1684449073
110,clyde river,70.4692,-68.5914,-3.87,100,100,4.63,CA,1684449074
111,steamboat springs,40.485,-106.8317,19.41,47,100,8.23,US,1684449074
112,opuwo,-18.0607,13.84,13.21,55,0,1.3,NA,1684449076
113,christchurch,-43.5333,172.6333,10.51,91,100,1.54,NZ,1684448864
114,torrington,41.8007,-73.1212,17.05,37,0,1.79,US,1684449013
115,kruisfontein,-34.0033,24.7314,12.71,86,61,4.26,ZA,1684448946
116,dikson,73.5069,80.5464,0.1,98,100,2.08,RU,1684449078
117,auki,-8.7676,160.7034,27.7,83,86,1.35,SB,1684449079
118,areosa,41.7178,-8.8571,12.78,70,39,7.1,PT,1684449079
119,vieques,18.425,-65.8329,30.18,74,40,5.66,PR,1684449080
120,moanda,-1.5575,13.2178,23.52,94,78,0.91,GA,1684449081
121,oistins,13.0667,-59.5333,28.05,74,20,4.63,BB,1684449081
122,sitka,57.0531,-135.33,18.94,52,0,0.0,US,1684449034
123,butaritari,3.0707,172.7902,28.49,78,67,4.9,KI,1684449082
124,arraial do cabo,-22.9661,-42.0278,21.92,56,20,3.09,BR,1684448870
125,copiapo,-27.3667,-70.3333,13.83,47,100,1.98,CL,1684448967
126,ancud,-41.8697,-73.8203,11.19,82,81,7.97,CL,1684448793
127,sola,-13.8833,167.55,27.18,76,15,2.06,VU,1684449086
128,sobolevo,54.4299,31.8996,9.63,93,100,3.34,RU,1684449086
129,shahrud,36.4182,54.9763,17.95,38,0,0.95,IR,1684449087
130,lasa,46.6166,10.7002,10.76,98,100,1.51,IT,1684449087
131,ponta do sol,32.6667,-17.1,18.4,49,28,3.52,PT,1684449088
132,los llanos de aridane,28.6585,-17.9182,17.86,87,20,6.69,ES,1684449089
133,barrow,71.2906,-156.7887,-0.99,86,100,5.14,US,1684449089
134,kaeo,-35.1,173.7833,19.32,95,26,6.89,NZ,1684449090
135,chuy,-33.6971,-53.4616,18.94,68,0,2.05,UY,1684448797
136,kurchum,48.5722,83.6542,9.35,46,98,4.2,KZ,1684449091
137,port-gentil,-0.7193,8.7815,27.11,87,100,6.21,GA,1684448872
138,sivaki,52.6333,126.75,13.12,31,5,2.72,RU,1684449092
139,isangel,-19.55,169.2667,26.39,80,75,5.72,VU,1684449092
140,saint-pierre,-21.3393,55.4781,23.82,83,0,2.57,RE,1684449093
141,kudahuvadhoo,2.6708,72.8944,27.87,75,38,1.6,MV,1684449093
142,sao jose da coroa grande,-8.8978,-35.1478,25.51,77,98,3.12,BR,1684449094
143,fortuna,40.5982,-124.1573,17.74,86,75,6.17,US,1684449094
144,morro bay,35.3658,-120.8499,35.49,35,16,4.47,US,1684448987
145,lebu,-37.6167,-73.65,11.88,91,69,1.5,CL,1684448868
146,roche-la-moliere,45.4341,4.3228,9.06,87,0,0.0,FR,1684449096
147,ambovombe,-25.1667,46.0833,18.61,85,21,0.57,MG,1684449097
148,batemans bay,-35.7167,150.1833,10.61,54,51,1.85,AU,1684449097
149,pangnirtung,66.1451,-65.7125,-2.0,80,75,5.14,CA,1684449098
150,viesite,56.3475,25.5551,4.31,67,100,2.03,LV,1684449098
151,mount gambier,-37.8333,140.7667,11.35,85,86,1.07,AU,1684449099
152,seryshevo,51.0933,128.3786,14.44,38,49,1.25,RU,1684449100
